"tre_cn","prev_tre_cn","plt_cn.re","plot_id","tree_status.re","species","dbh_in.re","plt_cn.init","tree_status.init","dbh_in.init"
"44786556020004","23651304010900","48203905010497","6-1-15-83916","live","OTHER",6,"23651220010900","live",5.1
"44786557020004","23651306010900","48203905010497","6-1-15-83916","live","OTHER",7.1,"23651220010900","live",6
"44786558020004","23651308010900","48203905010497","6-1-15-83916","live","OTHER",8.8,"23651220010900","live",7.7
"44786559020004","23651310010900","48203905010497","6-1-15-83916","live","PILA",36.4,"23651220010900","live",35.3
"44786560020004","23651312010900","48203905010497","6-1-15-83916","live","OTHER",7.2,"23651220010900","live",6.5
"44786561020004","23651314010900","48203905010497","6-1-15-83916","live","OTHER",5.3,"23651220010900","live",5.1
"44786562020004","23651316010900","48203905010497","6-1-15-83916","live","OTHER",8.6,"23651220010900","live",7.7
"44786563020004","23651318010900","48203905010497","6-1-15-83916","live","PILA",32.3,"23651220010900","live",32.1
"44786564020004","23651320010900","48203905010497","6-1-15-83916","live","PILA",9.4,"23651220010900","live",9.4
"44786565020004","23651322010900","48203905010497","6-1-15-83916","live","PILA",30,"23651220010900","live",29
"44786569020004","23651252010900","48203905010497","6-1-15-83916","live","PILA",31.6,"23651220010900","live",29
"44786566020004","23651324010900","48203905010497","6-1-15-83916","live","PILA",25.1,"23651220010900","live",23.8
"44786567020004","23651326010900","48203905010497","6-1-15-83916","live","PILA",13.2,"23651220010900","live",13.1
"44786570020004","23651254010900","48203905010497","6-1-15-83916","live","PILA",35.3,"23651220010900","live",34.5
"44786571020004","23651256010900","48203905010497","6-1-15-83916","live","PILA",29.7,"23651220010900","live",29.1
"44786572020004","23651258010900","48203905010497","6-1-15-83916","live","PILA",28.3,"23651220010900","live",27.4
"44786573020004","23651260010900","48203905010497","6-1-15-83916","live","PILA",32.7,"23651220010900","live",31.8
"44786574020004","23651262010900","48203905010497","6-1-15-83916","live","OTHER",3.6,"23651220010900","live",2.9
"44786575020004","23651265010900","48203905010497","6-1-15-83916","live","OTHER",1.7,"23651220010900","live",1.7
"44786576020004","23651268010900","48203905010497","6-1-15-83916","live","OTHER",1,"23651220010900","live",1
"44786577020004","23651249010900","48203905010497","6-1-15-83916","live","OTHER",1.1,"23651220010900","live",1.2
"44786578020004","23651246010900","48203905010497","6-1-15-83916","live","OTHER",1.1,"23651220010900","live",1
"44786581020004","23651342010900","48203905010497","6-1-15-83916","live","OTHER",12.4,"23651220010900","live",11.7
"44786582020004","23651344010900","48203905010497","6-1-15-83916","live","OTHER",7.4,"23651220010900","live",7.6
"44786583020004","23651346010900","48203905010497","6-1-15-83916","live","OTHER",14.8,"23651220010900","live",14.4
"44786584020004","23651348010900","48203905010497","6-1-15-83916","live","OTHER",20.5,"23651220010900","live",18.5
"44786586020004","23651277010900","48203905010497","6-1-15-83916","live","PSME",43.9,"23651220010900","live",43.3
