"","subp_id","name","lambda.med","lambda.05","lambda.95"
"1",1,"Undisturbed",0.979802658196596,0.953547045033864,1.00466306315144
"2",2,"Fire",0.644020100527583,0.520164616576443,0.787880931070675
"3",3,"WPBR",0.947259464063447,0.855236822883728,0.994598689296668
"4",4,"Low BA",1.00144324197973,0.973554352605264,1.02922599543384
"5",5,"High BA",0.946394130290901,0.91159787228334,0.976392923380507
"6",6,"Low Drought",0.990632131420896,0.962593134355446,1.01658201591523
"7",7,"High Drought",0.966807179694104,0.934282667085549,0.996817902358183
"8",8,"Wet Site",0.99987626842906,0.974074531924212,1.02498353590297
"9",9,"Dry Site",0.953307352304013,0.91807849011289,0.985079013104696
