"","subp_id","name","lambda.med","lambda.05","lambda.95"
"1",1,"Undisturbed",0.98661916125075,0.961723041906211,1.01347944733233
"2",2,"Fire",0.659020308028283,0.558104741933293,0.779404787693107
"3",3,"WPBR",0.928247856605913,0.859085134242763,0.98124674218462
"4",4,"Low BA",1.01001711088632,0.983735212405041,1.04014098641327
"5",5,"High BA",0.948877891976935,0.916123287429625,0.978667620897715
"6",6,"Low Drought",1.00445221592019,0.978211917310517,1.03139969283323
"7",7,"High Drought",0.964750163004539,0.932959068943363,0.99701993998115
"8",8,"Wet Site",1.00434648371969,0.978971752678283,1.030357243464
"9",9,"Dry Site",0.964449549039902,0.93234349001913,0.996133298399101
