# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-10-05 20:01:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpWk9ck5/standata-48405e57361c.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd_nh-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.7633
# Diagonal elements of inverse mass matrix:
# 0.05119, 0.214856
-144.746,0.975519,0.7633,2,7,0,146.699,-2.67249,0.0435981
-144.735,0.925393,0.7633,1,3,0,145.406,-2.75308,0.0688351
-144.945,0.976432,0.7633,3,7,0,145.032,-2.86906,0.03664
-145.754,0.947879,0.7633,2,3,0,145.937,-2.49037,0.0655744
-145.359,1,0.7633,2,7,0,145.811,-3.03558,0.0374819
-145.155,0.996876,0.7633,3,7,0,145.513,-3.05046,0.0486159
-144.908,0.860893,0.7633,2,7,0,146.574,-2.60454,0.0463481
-146.46,0.871335,0.7633,3,7,0,146.953,-3.22904,0.0560027
-145.54,0.934194,0.7633,2,7,0,147.549,-2.84283,0.0966835
-144.778,0.985497,0.7633,2,7,0,145.552,-2.87903,0.0401083
-144.576,0.99845,0.7633,3,7,0,144.84,-2.83259,0.060964
-145.009,0.938189,0.7633,2,3,0,145.19,-2.70554,0.0765419
-146.047,0.836152,0.7633,2,3,0,146.624,-2.42626,0.0379144
-144.9,0.991336,0.7633,2,3,0,146.194,-2.68879,0.0384226
-144.897,0.870354,0.7633,1,3,0,146.422,-2.95223,0.0648157
-145.109,0.979386,0.7633,3,7,0,145.554,-2.55528,0.0482432
-145.739,0.84497,0.7633,2,7,0,146.667,-2.59796,0.0872519
-144.852,0.948618,0.7633,2,3,0,146.272,-2.62112,0.05652
-144.777,0.861717,0.7633,1,3,0,146.14,-2.92465,0.0427079
-145.489,0.884942,0.7633,2,3,0,145.982,-2.91035,0.0310448
-145.647,0.997962,0.7633,3,7,0,145.731,-2.97991,0.0311537
-146.778,0.951904,0.7633,3,7,0,147.375,-3.24293,0.0638384
-145.327,1,0.7633,2,3,0,147.277,-2.66122,0.0830171
-146.281,0.933547,0.7633,2,7,0,146.869,-3.02749,0.0996341
-144.6,1,0.7633,3,7,0,146.177,-2.89572,0.0497458
-145.232,0.847291,0.7633,2,3,0,146.497,-2.59159,0.0693455
-146.155,0.932315,0.7633,2,3,0,146.577,-2.65181,0.107195
-144.712,1,0.7633,2,3,0,146.114,-2.69825,0.0427907
-145.062,0.868516,0.7633,1,3,0,146.274,-3.02882,0.0469475
-145.421,0.90335,0.7633,3,7,0,146.09,-2.673,0.0318241
