# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-10-05 20:01:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpWk9ck5/standata-48405e57361c.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd_nh-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.891523
# Diagonal elements of inverse mass matrix:
# 0.0419201, 0.179878
-146.368,1,0.891523,1,1,0,147.154,-2.39024,0.0359764
-146.862,0.948987,0.891523,1,1,0,146.962,-2.32291,0.0363039
-145.377,0.982408,0.891523,2,3,0,147.244,-2.58858,0.0350752
-145.056,0.856561,0.891523,2,3,0,146.538,-2.79718,0.0344433
-144.668,0.978102,0.891523,2,3,0,145.387,-2.66926,0.0530698
-145.25,0.778567,0.891523,2,3,0,146.733,-2.59653,0.0366355
-144.596,0.980555,0.891523,2,3,0,145.414,-2.86105,0.0453736
-146.191,0.810071,0.891523,3,7,0,146.378,-3.08738,0.0858174
-145.497,1,0.891523,1,1,0,146.152,-2.9793,0.0832509
-144.844,0.889717,0.891523,2,7,0,146.591,-2.84649,0.0379339
-147.545,0.499134,0.891523,2,3,0,148.904,-2.77774,0.160626
-145.035,0.960511,0.891523,2,7,0,147.479,-2.99831,0.0417629
-145.447,0.833204,0.891523,2,7,0,146.314,-2.99609,0.0791221
-144.726,1,0.891523,2,7,0,145.356,-2.69346,0.0426461
-144.732,0.999648,0.891523,2,7,0,144.763,-2.90827,0.0629988
-146.22,0.835162,0.891523,3,7,0,146.396,-2.38707,0.043234
-146.228,1,0.891523,1,1,0,146.477,-2.38741,0.0420379
-144.867,1,0.891523,2,3,0,146.221,-2.60859,0.0505099
-144.774,1,0.891523,1,1,0,144.877,-2.6361,0.0486529
-145.404,0.936691,0.891523,2,7,0,145.53,-3.09108,0.0545717
-144.991,0.985119,0.891523,2,3,0,145.671,-2.65686,0.0380407
-144.617,0.93924,0.891523,2,3,0,145.814,-2.71363,0.059177
-144.727,0.923709,0.891523,1,3,0,145.198,-2.85682,0.0406332
-145.136,0.944011,0.891523,2,3,0,145.254,-2.94885,0.0750863
-145.197,0.837827,0.891523,2,3,0,146.909,-2.77216,0.0328732
-144.56,0.969764,0.891523,2,3,0,145.443,-2.84485,0.0463995
-144.704,0.931415,0.891523,2,3,0,145.046,-2.7817,0.0683718
-144.798,0.920882,0.891523,2,7,0,145.436,-2.70019,0.0402094
-144.723,0.998068,0.891523,3,7,0,144.914,-2.83001,0.0688211
-145.517,0.829008,0.891523,2,3,0,146.26,-3.01982,0.0340369
-146.225,0.693647,0.891523,2,3,0,147.912,-3.10662,0.082751
-144.932,1,0.891523,2,7,0,146.079,-2.72505,0.0368105
-145.262,0.958213,0.891523,2,3,0,145.66,-2.99078,0.0735537
-144.698,1,0.891523,2,3,0,145.286,-2.66139,0.0545488
-144.796,0.944678,0.891523,2,7,0,145.393,-2.88725,0.0684846
-145.664,0.923683,0.891523,2,7,0,145.733,-2.7022,0.0293188
-145.246,1,0.891523,2,3,0,146.03,-2.74239,0.0869156
-145.594,0.984106,0.891523,2,3,0,145.656,-2.77442,0.0988896
-145.559,0.991306,0.891523,2,7,0,145.727,-2.87166,0.0299557
-146.221,0.922675,0.891523,2,3,0,147.542,-2.44331,0.0686857
-148.481,0.849692,0.891523,3,7,0,148.993,-3.29913,0.0945261
-145.019,1,0.891523,2,3,0,147.945,-2.73283,0.0353794
-145.919,0.944486,0.891523,2,3,0,146.184,-3.16138,0.0569679
-146.798,0.781454,0.891523,2,3,0,148.391,-2.7995,0.136285
-147.156,0.982167,0.891523,2,3,0,147.429,-2.7115,0.144186
-146.33,0.911564,0.891523,2,3,0,147.958,-2.61666,0.0261247
-145.554,0.605184,0.891523,2,3,0,149.397,-2.65693,0.0896997
-146.318,0.762448,0.891523,2,3,0,147.927,-2.73521,0.0251307
-147.894,0.769921,0.891523,2,3,0,149.772,-3.38652,0.0405514
-145.335,0.932524,0.891523,2,3,0,149.028,-2.53466,0.0602761
-146.371,0.74404,0.891523,2,3,0,149.355,-2.41957,0.0326599
-145.18,0.96022,0.891523,2,3,0,146.886,-2.62001,0.0723707
-146.608,0.89502,0.891523,2,3,0,147.108,-3.02499,0.109614
-144.835,1,0.891523,2,3,0,146.643,-2.93533,0.0417127
-144.55,0.989403,0.891523,1,3,0,144.937,-2.78994,0.0456777
-144.653,0.992171,0.891523,2,3,0,144.694,-2.67566,0.053603
-146.56,0.807686,0.891523,2,3,0,146.642,-2.40341,0.0315091
-146.549,0.972528,0.891523,2,3,0,147.021,-2.49286,0.0274234
-144.926,1,0.891523,2,3,0,146.468,-2.68557,0.0380428
-145.439,0.851144,0.891523,2,3,0,146.18,-3.0593,0.038038
-145.986,0.9558,0.891523,2,3,0,146.097,-2.46482,0.0668543
-145.294,1,0.891523,1,1,0,145.88,-2.53015,0.0563432
-145.401,0.942418,0.891523,2,3,0,146.249,-2.51771,0.0412499
-146.343,0.699946,0.891523,1,3,0,150.699,-3.14063,0.0785195
-145.874,0.985562,0.891523,2,7,0,147.44,-2.66751,0.100612
-145.903,0.925717,0.891523,2,3,0,146.846,-3.14567,0.0383168
-146.119,0.898784,0.891523,2,3,0,146.978,-2.94444,0.0269658
