# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-07-21 18:04:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpC0iZKs/standata-7bbc74217686.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.749957
# Diagonal elements of inverse mass matrix:
# 0.0450879, 0.234461
-140.349,0.953144,0.749957,2,3,0,141.516,-3.27511,0.0559621
-139.626,0.909353,0.749957,2,7,0,141.775,-2.97571,0.0370183
-139.311,0.996844,0.749957,3,7,0,139.689,-2.89559,0.074224
-139.45,0.98567,0.749957,2,7,0,139.563,-2.87666,0.0402392
-140.239,0.615122,0.749957,1,3,0,143.147,-3.01484,0.111789
-140.179,0.995529,0.749957,3,7,0,140.709,-2.88128,0.0306782
-141.542,0.745212,0.749957,1,1,0,141.58,-2.83693,0.0229378
-140.022,1,0.749957,2,3,0,141.785,-2.98947,0.104932
-139.838,0.987915,0.749957,2,7,0,140.621,-2.70463,0.0715442
-139.919,1,0.749957,3,7,0,139.966,-3.18182,0.0430619
-139.325,0.998351,0.749957,3,7,0,139.923,-2.9208,0.0427517
-139.223,0.885127,0.749957,3,7,0,140.762,-2.98481,0.0666424
-140.623,0.87332,0.749957,2,3,0,140.642,-2.96631,0.0274078
-140.355,1,0.749957,3,7,0,141.122,-3.1311,0.0998986
-139.297,1,0.749957,2,3,0,140.333,-2.95067,0.0737474
-139.167,0.998737,0.749957,2,3,0,139.324,-2.94742,0.0495513
-139.294,0.985739,0.749957,2,3,0,139.353,-2.81744,0.0487111
-139.776,0.930046,0.749957,2,3,0,139.931,-2.78381,0.0854502
-140.279,0.980211,0.749957,2,3,0,140.356,-2.79741,0.108153
-139.55,0.927797,0.749957,2,3,0,141.849,-2.73914,0.047146
-139.717,0.978208,0.749957,3,7,0,139.995,-3.01007,0.0362481
-142.133,0.697169,0.749957,2,3,0,142.717,-2.99728,0.195918
-139.708,1,0.749957,2,3,0,142.052,-2.7881,0.038097
-140.533,0.929345,0.749957,3,7,0,141.054,-3.28666,0.0645083
-140.377,1,0.749957,2,3,0,141.204,-3.18032,0.0339409
-139.404,0.798764,0.749957,1,3,0,143.246,-2.83213,0.0740882
-139.332,0.932291,0.749957,2,3,0,140.219,-2.95432,0.0756429
-139.295,0.999676,0.749957,3,7,0,139.37,-2.91064,0.0437137
-139.188,1,0.749957,2,3,0,139.332,-2.84658,0.055814
-139.167,0.977599,0.749957,3,7,0,139.463,-2.87006,0.0605855
-139.5,0.887005,0.749957,1,3,0,140.208,-3.04615,0.0415928
-140.018,0.975875,0.749957,2,3,0,140.081,-2.67746,0.0729593
-139.831,1,0.749957,3,7,0,140.344,-3.07067,0.0363346
-140.148,0.904492,0.749957,3,7,0,141.147,-3.12008,0.0936407
-139.933,0.999289,0.749957,3,7,0,140.509,-2.77092,0.0352616
-139.433,0.867504,0.749957,1,3,0,141.353,-2.83795,0.0763844
-139.124,0.977743,0.749957,1,3,0,139.719,-2.94258,0.0547308
-139.248,0.970371,0.749957,1,3,0,139.416,-2.84902,0.0659323
-140.337,0.758345,0.749957,2,3,0,142.128,-2.61532,0.039496
-140.263,0.968629,0.749957,3,7,0,140.974,-2.60996,0.0618358
-139.81,0.975707,0.749957,2,3,0,140.734,-2.67616,0.0481578
-139.763,0.850318,0.749957,2,3,0,141.845,-2.70167,0.0441018
-139.763,0.659222,0.749957,2,3,0,143.154,-2.70167,0.0441018
-139.392,0.832548,0.749957,2,3,0,141.444,-3.08697,0.0521967
-142.721,0.616179,0.749957,2,3,0,143.775,-2.32481,0.037936
-140.008,0.939721,0.749957,2,3,0,143.135,-2.64085,0.057828
-140.989,0.912293,0.749957,2,3,0,141.793,-3.1115,0.128558
-139.529,0.997048,0.749957,2,3,0,141.185,-3.12624,0.0568168
-139.605,0.995634,0.749957,3,7,0,139.694,-2.71256,0.0539715
-139.682,0.997785,0.749957,3,7,0,139.743,-3.16044,0.0570306
-140.754,0.862781,0.749957,2,3,0,141.544,-2.57827,0.0352532
-140.92,0.976229,0.749957,2,3,0,141.203,-2.64096,0.0295886
-139.65,1,0.749957,2,3,0,140.957,-2.80026,0.0386466
-140.066,0.903786,0.749957,3,7,0,140.899,-2.87511,0.107168
-139.534,0.985726,0.749957,2,7,0,140.311,-2.80588,0.0408299
-139.626,0.866639,0.749957,3,7,0,140.779,-3.14691,0.0585242
-144.28,0.561517,0.749957,2,3,0,145.778,-3.55685,0.0983641
-140.422,0.976709,0.749957,2,7,0,144.823,-2.91361,0.122996
-140.129,0.953382,0.749957,2,7,0,141.375,-2.64936,0.0696724
-139.659,0.798627,0.749957,2,3,0,142.522,-3.03357,0.0857353
-139.986,0.967941,0.749957,2,3,0,140.297,-3.02635,0.0331888
-139.807,1,0.749957,2,3,0,140.253,-2.75517,0.0818165
-139.242,1,0.749957,2,3,0,139.831,-2.95446,0.0701147
-139.778,0.860448,0.749957,1,3,0,140.816,-3.12887,0.0407224
-139.553,0.990403,0.749957,2,3,0,140.019,-3.12165,0.048229
-139.544,0.978175,0.749957,3,7,0,139.922,-2.74238,0.0641703
-139.763,0.971579,0.749957,2,7,0,140.186,-3.1682,0.0625085
-139.831,0.93339,0.749957,2,3,0,140.993,-3.08239,0.0368003
-140.025,0.995351,0.749957,3,7,0,140.136,-3.17487,0.0393076
-139.499,0.928011,0.749957,2,3,0,141.158,-3.11929,0.0555146
-141.227,0.872321,0.749957,2,3,0,141.59,-2.47924,0.0527646
-141.036,0.837536,0.749957,2,3,0,142.923,-3.02624,0.0253891
-139.628,1,0.749957,2,7,0,141.505,-2.71297,0.0491484
-139.55,0.973184,0.749957,2,7,0,140.102,-3.12213,0.0486018
-139.622,0.928403,0.749957,3,7,0,140.791,-3.1326,0.0466201
-139.878,0.987904,0.749957,3,7,0,139.998,-2.65885,0.0536928
-139.527,0.986881,0.749957,2,3,0,140.256,-3.10848,0.0652438
-139.819,0.95578,0.749957,3,7,0,140.598,-2.9762,0.034386
-140.868,0.917163,0.749957,2,7,0,142.009,-3.28228,0.0343318
-140.868,0.725535,0.749957,2,7,0,143.678,-3.28228,0.0343318
-140.062,1,0.749957,2,3,0,141.309,-3.19456,0.0724831
-139.283,0.998778,0.749957,2,3,0,140.112,-3.01609,0.067394
-139.2,0.959373,0.749957,1,3,0,139.774,-2.84011,0.0568822
-139.556,0.922483,0.749957,2,3,0,140.023,-2.75844,0.0438599
-140.33,0.911414,0.749957,2,3,0,140.645,-2.59383,0.0581659
-139.477,1,0.749957,2,3,0,140.374,-3.07445,0.0444249
-140.701,0.80339,0.749957,2,3,0,141.621,-3.27647,0.0766855
-139.284,1,0.749957,2,3,0,140.641,-3.04541,0.0611669
-139.394,0.887585,0.749957,1,3,0,140.565,-2.76833,0.0520382
-139.572,0.975077,0.749957,2,3,0,139.772,-2.82067,0.0393233
-139.678,0.978242,0.749957,2,7,0,139.998,-2.80051,0.0835515
-140.339,0.873924,0.749957,2,3,0,141.663,-3.23866,0.0725029
-140.342,0.974513,0.749957,2,3,0,141.188,-3.26485,0.0443358
-139.183,0.899205,0.749957,1,3,0,142.026,-2.91333,0.0661322
-139.452,0.974669,0.749957,2,3,0,139.517,-3.0663,0.0703278
-139.478,0.963672,0.749957,3,7,0,139.981,-2.79677,0.042871
