# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-10-05 20:01:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpWk9ck5/standata-48405e57361c.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd_nh-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.688112
# Diagonal elements of inverse mass matrix:
# 0.0487016, 0.173184
-145.204,0.95073,0.688112,2,3,0,145.281,-3.00972,0.0679204
-145.177,0.965317,0.688112,3,7,0,146.295,-2.54164,0.0484489
-144.854,0.998789,0.688112,3,7,0,145.308,-2.98409,0.0517475
-147.188,0.826993,0.688112,2,3,0,147.294,-3.31717,0.0488264
-146.038,0.976828,0.688112,3,7,0,148.273,-2.41103,0.0489789
-145.385,0.954177,0.688112,2,7,0,146.873,-2.58291,0.0733248
-144.884,0.99776,0.688112,3,7,0,145.505,-2.65606,0.0659617
-145.081,0.967576,0.688112,2,7,0,145.664,-2.89776,0.0785778
-145.379,0.961981,0.688112,2,3,0,146.005,-2.87602,0.0315465
-144.986,0.988499,0.688112,2,7,0,145.851,-2.63065,0.0663813
-144.617,0.980881,0.688112,2,3,0,145.404,-2.82212,0.0638724
-144.902,0.92108,0.688112,3,7,0,146.056,-2.89754,0.038141
-144.591,0.99974,0.688112,2,3,0,144.952,-2.82081,0.0440195
-144.568,0.978399,0.688112,3,7,0,145.02,-2.84895,0.0592133
-144.528,0.999962,0.688112,3,7,0,144.589,-2.76865,0.0574174
-144.689,0.985512,0.688112,2,3,0,144.731,-2.92953,0.0553432
-145.72,0.921567,0.688112,2,3,0,145.909,-2.6423,0.0930107
-146.302,0.919169,0.688112,1,1,0,146.328,-2.57919,0.100672
-144.839,0.776403,0.688112,2,5,0,149.107,-2.9565,0.0608203
-144.919,0.862774,0.688112,2,3,0,146.798,-2.74975,0.0366163
-144.607,1,0.688112,3,7,0,144.972,-2.7207,0.0594455
-144.632,0.932961,0.688112,1,3,0,145.422,-2.88716,0.0455582
-146.188,0.860668,0.688112,2,3,0,146.36,-2.69386,0.0260501
-146.109,0.888124,0.688112,2,7,0,148.174,-2.89201,0.111301
-145.547,0.993242,0.688112,3,7,0,146.367,-2.96602,0.086627
-147.805,0.901374,0.688112,3,7,0,148.743,-2.9176,0.0198535
-144.495,0.846182,0.688112,2,3,0,150.521,-2.81261,0.0524691
-145.504,0.796681,0.688112,2,5,0,147.065,-2.54181,0.0360049
-144.776,0.983457,0.688112,2,3,0,145.839,-2.63353,0.0501763
-144.926,0.977881,0.688112,3,7,0,145.334,-2.97119,0.0627393
-145.358,0.970575,0.688112,2,7,0,145.663,-3.0823,0.044749
-144.561,0.960591,0.688112,1,3,0,145.983,-2.83735,0.0459403
-144.67,0.97083,0.688112,2,3,0,144.914,-2.9091,0.0458476
-145.832,0.85809,0.688112,2,3,0,146.503,-3.13261,0.0380885
-146.662,0.93305,0.688112,2,3,0,147.088,-3.08261,0.026439
-146.489,0.915898,0.688112,2,3,0,148.167,-2.94036,0.0249135
-145.187,1,0.688112,2,3,0,146.556,-2.97474,0.0365227
-145.512,0.956703,0.688112,1,1,0,145.539,-2.97399,0.0322998
-145.07,0.980827,0.688112,3,7,0,146.348,-3.03318,0.0485414
-145.333,0.917718,0.688112,3,7,0,147.082,-2.54448,0.0629611
-145.4,0.967656,0.688112,3,7,0,146.367,-3.07081,0.0404132
-146.143,0.730495,0.688112,3,7,0,148.855,-2.43496,0.0637933
-147.321,0.937599,0.688112,2,3,0,147.353,-2.34203,0.0711888
-145.768,0.96563,0.688112,2,3,0,148.457,-2.71371,0.101521
-144.793,0.994503,0.688112,3,7,0,145.938,-2.64544,0.0588739
-144.896,0.996615,0.688112,3,7,0,145.117,-2.95396,0.0644654
-145.34,0.970476,0.688112,3,7,0,145.679,-2.89202,0.032151
-145.643,0.986096,0.688112,2,3,0,146.167,-3.11303,0.0400098
-145.155,0.993651,0.688112,2,3,0,145.87,-2.99309,0.0382273
-144.628,0.948287,0.688112,2,3,0,145.837,-2.75573,0.0430202
-144.915,0.97547,0.688112,2,3,0,145.065,-2.99027,0.0570219
-144.527,0.93645,0.688112,1,3,0,145.763,-2.74103,0.0532051
-144.81,0.981179,0.688112,3,7,0,144.834,-2.68531,0.066566
