# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-10-05 21:41:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpWk9ck5/standata-484020e736b9.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd_size-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.78736
# Diagonal elements of inverse mass matrix:
# 0.0548165, 0.232705
-140.138,0.988809,0.78736,2,3,0,142.37,-3.20338,0.0397672
-139.731,1,0.78736,2,3,0,140.174,-3.16951,0.0506732
-139.966,0.965978,0.78736,2,3,0,140.302,-2.73192,0.0841306
-140.032,0.954818,0.78736,2,3,0,140.559,-3.21749,0.0460512
-139.174,0.934612,0.78736,1,3,0,140.753,-2.88026,0.0504188
-139.179,0.899704,0.78736,2,3,0,140.061,-2.86328,0.0518706
-139.617,0.875529,0.78736,1,3,0,140.264,-3.12533,0.0668495
-139.23,0.998541,0.78736,2,3,0,139.692,-3.01895,0.0509723
-139.306,0.987987,0.78736,3,7,0,139.418,-2.86265,0.0716554
-139.639,0.843801,0.78736,2,3,0,141.499,-2.96375,0.036686
-139.701,0.991936,0.78736,2,7,0,140.08,-2.99628,0.0910545
-139.201,0.95939,0.78736,2,3,0,140.297,-2.86339,0.0637462
-140.23,0.872032,0.78736,2,3,0,140.444,-2.78997,0.105151
-140.23,0.875816,0.78736,1,1,0,140.963,-2.78997,0.105151
-140.441,0.918455,0.78736,3,7,0,141.299,-3.1775,0.0330236
-139.759,0.916098,0.78736,2,3,0,141.341,-3.15455,0.0673496
-139.151,1,0.78736,2,3,0,139.754,-2.97509,0.0596011
-139.151,0.573305,0.78736,2,3,0,142.732,-2.97509,0.0596011
-140.473,0.736899,0.78736,1,3,0,141.448,-2.58516,0.0633138
-141.275,0.811006,0.78736,1,1,0,141.43,-2.51849,0.0725224
-140.332,1,0.78736,2,3,0,141.579,-3.18338,0.0347037
-139.204,0.970167,0.78736,1,3,0,140.475,-3.01192,0.0527991
-140.569,0.875346,0.78736,2,7,0,140.571,-2.72429,0.106695
-139.769,0.809387,0.78736,2,3,0,142.759,-3.0873,0.0380748
-139.769,0.670235,0.78736,1,3,0,144.074,-3.0873,0.0380748
-139.451,0.968358,0.78736,2,3,0,140.15,-2.78603,0.0447558
-139.667,0.958527,0.78736,2,3,0,140.016,-2.71224,0.0631604
-140.045,0.868106,0.78736,2,3,0,141.007,-2.82853,0.0325025
-139.774,1,0.78736,1,1,0,140.069,-2.79475,0.0367234
-139.886,0.993632,0.78736,3,7,0,140.218,-2.66453,0.0468135
-139.185,0.950041,0.78736,1,3,0,140.584,-2.94562,0.0661883
-140.211,0.81804,0.78736,2,3,0,140.637,-3.22374,0.0709703
-140.399,0.885572,0.78736,2,7,0,142.414,-2.84566,0.118471
-140.875,0.924549,0.78736,2,3,0,141.724,-2.71945,0.0277241
-139.318,0.987825,0.78736,2,7,0,141.069,-2.94642,0.043042
-139.318,0.668175,0.78736,1,3,0,142.187,-2.94642,0.043042
-139.131,0.998562,0.78736,2,3,0,139.337,-2.95326,0.0540778
-139.385,0.969296,0.78736,2,3,0,139.393,-2.93846,0.0788281
-139.173,0.962733,0.78736,1,3,0,139.783,-2.94985,0.0491883
-139.173,0.848208,0.78736,1,3,0,140.29,-2.94985,0.0491883
-142.046,0.569688,0.78736,1,3,0,143.778,-3.46918,0.0561708
-139.301,1,0.78736,2,3,0,141.745,-2.83486,0.0679974
-140.671,0.868997,0.78736,2,3,0,140.822,-2.92615,0.133326
-139.529,0.978763,0.78736,3,7,0,140.58,-2.93635,0.0382754
-139.337,0.969347,0.78736,2,3,0,140.053,-3.06771,0.0599796
-141.143,0.63545,0.78736,3,7,0,143.415,-3.3789,0.0470667
-145.65,0.675607,0.78736,3,7,0,145.972,-2.07569,0.0327814
-143.768,1,0.78736,2,3,0,145.458,-2.25511,0.0279389
-140.412,0.81554,0.78736,2,3,0,144.727,-2.57884,0.0553451
-139.304,0.979666,0.78736,2,3,0,140.6,-2.84313,0.0457058
-139.72,0.943844,0.78736,2,3,0,139.909,-2.79098,0.0840803
-140.536,0.905858,0.78736,2,7,0,140.826,-3.17984,0.0320886
-139.371,0.999291,0.78736,2,7,0,140.444,-2.94733,0.0779534
-139.468,0.993685,0.78736,2,7,0,139.569,-2.97558,0.0398344
-141.311,0.807206,0.78736,2,7,0,141.581,-3.24264,0.110138
-140.753,1,0.78736,2,3,0,141.552,-3.08104,0.124322
-142.144,0.886679,0.78736,2,3,0,143.238,-2.68391,0.0218229
-141.798,0.990082,0.78736,3,7,0,143.269,-2.71274,0.0228858
-141.148,1,0.78736,2,7,0,142.189,-3.01274,0.149331
-139.702,0.879155,0.78736,2,3,0,143.255,-3.16575,0.0551431
-140.214,0.938104,0.78736,2,3,0,140.691,-3.20708,0.038491
-139.66,0.701458,0.78736,3,7,0,142.411,-2.80023,0.0384428
-139.682,0.806951,0.78736,3,7,0,141.528,-2.91552,0.0925926
-139.168,0.967845,0.78736,1,3,0,140.048,-2.99533,0.0569261
-140.477,0.864993,0.78736,3,7,0,140.537,-2.81826,0.118739
-139.574,0.926875,0.78736,2,3,0,141.09,-2.72065,0.0521395
-139.169,0.979544,0.78736,2,3,0,139.913,-2.97421,0.0509084
-139.338,0.974836,0.78736,2,3,0,139.395,-2.81117,0.0469801
-139.684,0.887697,0.78736,2,7,0,140.269,-2.77432,0.0796297
-139.454,1,0.78736,2,3,0,139.853,-3.0846,0.0663392
-139.291,0.996601,0.78736,2,7,0,139.509,-2.80141,0.0532047
-139.969,0.764562,0.78736,1,3,0,141.461,-3.21588,0.051405
-139.199,1,0.78736,2,3,0,139.89,-2.89917,0.0477584
-139.26,0.948015,0.78736,1,3,0,139.597,-2.88389,0.0704115
-139.816,0.863683,0.78736,1,3,0,140.71,-2.8455,0.0348295
-141.6,0.663355,0.78736,2,3,0,143.348,-3.4152,0.0620638
-140.81,1,0.78736,1,1,0,141.602,-3.32248,0.0643588
-140.622,0.882751,0.78736,2,3,0,142.406,-2.98631,0.129465
-140.917,0.818566,0.78736,3,7,0,142.904,-2.52353,0.0591718
-140.917,0.427172,0.78736,1,1,0,143.183,-2.52353,0.0591718
-139.597,0.93951,0.78736,2,3,0,141.674,-2.90617,0.088705
-140.694,0.75858,0.78736,2,3,0,142.39,-2.95364,0.133935
-139.593,0.982019,0.78736,2,3,0,140.885,-2.95448,0.0373098
-139.178,0.994719,0.78736,2,3,0,139.668,-2.87497,0.0505037
-139.155,0.999677,0.78736,2,3,0,139.196,-2.97859,0.0598056
-140.271,0.796129,0.78736,1,3,0,140.963,-2.72754,0.0957699
-143.067,0.857093,0.78736,2,3,0,143.458,-2.61801,0.0194011
-143.043,0.963592,0.78736,2,3,0,144.152,-2.74833,0.0184563
-140.79,1,0.78736,1,1,0,142.656,-2.85086,0.0265561
-139.228,0.905435,0.78736,2,3,0,141.854,-3.00969,0.0635768
-139.76,0.932747,0.78736,2,3,0,139.907,-2.98586,0.0942697
-139.918,0.993421,0.78736,2,3,0,139.968,-2.98759,0.100793
-139.987,0.979536,0.78736,3,7,0,140.453,-2.98647,0.0326202
-140.339,0.927842,0.78736,2,3,0,141.31,-3.24507,0.0402885
-140.239,0.943424,0.78736,2,3,0,141.341,-3.24886,0.0627274
-141.397,0.919503,0.78736,2,3,0,142.034,-3.37166,0.0354986
-139.452,0.896298,0.78736,1,3,0,142.536,-2.93264,0.0397205
-140.113,0.916012,0.78736,3,7,0,140.256,-2.90151,0.110221
-140.764,0.856815,0.78736,3,7,0,141.677,-3.21405,0.0971046
-139.71,1,0.78736,2,3,0,140.889,-2.75538,0.0773075
