# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-10-05 20:01:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpWk9ck5/standata-48405e57361c.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd_nh-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.88424
# Diagonal elements of inverse mass matrix:
# 0.0536459, 0.166944
-145.888,0.864905,0.88424,2,3,0,146.029,-2.81832,0.107978
-144.695,0.998751,0.88424,2,3,0,145.911,-2.72605,0.0652134
-144.861,0.943098,0.88424,2,3,0,145.284,-2.7932,0.03725
-144.701,0.879176,0.88424,2,3,0,146.183,-2.78226,0.0682741
-144.759,0.974402,0.88424,2,3,0,145.006,-2.94482,0.0579025
-149.533,0.495162,0.88424,2,7,0,149.691,-2.0812,0.0266939
-144.716,0.907197,0.88424,1,3,0,151.916,-2.80312,0.0400933
-144.853,0.852695,0.88424,1,3,0,145.772,-2.82924,0.0741929
-144.986,0.8471,0.88424,1,3,0,146.123,-2.59897,0.0431406
-145.662,0.888944,0.88424,1,1,0,145.663,-2.47213,0.041104
-145.414,1,0.88424,1,1,0,145.729,-2.5066,0.043456
-144.562,0.995324,0.88424,2,3,0,145.349,-2.82509,0.0603261
-144.495,0.823319,0.88424,2,3,0,145.967,-2.78427,0.0531781
-145.315,0.894615,0.88424,2,3,0,145.342,-3.0525,0.0402799
-144.663,0.952441,0.88424,2,3,0,145.941,-2.68029,0.0567118
-145.96,0.568245,0.88424,2,3,0,147.418,-3.17798,0.0493634
-145.565,1,0.88424,2,3,0,146.069,-3.10134,0.0403609
-144.868,0.977859,0.88424,2,3,0,145.921,-2.92095,0.0398765
-145.612,0.938535,0.88424,2,7,0,145.699,-2.49135,0.0600983
-149.374,0.646419,0.88424,2,3,0,149.937,-3.00989,0.203848
-147.695,0.947552,0.88424,3,7,0,151.95,-2.47738,0.117454
-145.652,1,0.88424,2,3,0,147.366,-2.78974,0.100897
-145.279,0.962808,0.88424,2,3,0,146.322,-2.8992,0.0851215
-144.614,0.815291,0.88424,2,3,0,147.282,-2.7993,0.0429609
-144.828,0.954119,0.88424,1,1,0,144.828,-2.80572,0.0378288
-145.323,0.951558,0.88424,2,3,0,145.522,-2.62177,0.0343402
-144.802,0.915123,0.88424,1,3,0,146.493,-2.95859,0.0576464
-144.72,0.788109,0.88424,2,3,0,147.165,-2.73612,0.0408379
-144.568,0.98512,0.88424,2,3,0,144.9,-2.80951,0.0612318
-144.73,0.947268,0.88424,2,3,0,144.901,-2.94828,0.0519416
-145.304,0.863731,0.88424,2,3,0,145.89,-2.94682,0.0811604
-144.54,1,0.88424,2,3,0,145.161,-2.73174,0.0507321
-145.405,0.790791,0.88424,2,3,0,146.095,-3.03834,0.0368484
-145.233,1,0.88424,2,3,0,145.517,-3.05385,0.0434509
-145.761,0.896098,0.88424,2,3,0,146.202,-2.46684,0.0388141
-145.421,1,0.88424,1,1,0,145.782,-2.52863,0.0389779
-145.769,0.78486,0.88424,2,3,0,147.017,-2.9497,0.0294274
-144.871,1,0.88424,2,3,0,145.844,-2.93875,0.065696
-144.494,0.992827,0.88424,1,3,0,144.917,-2.80705,0.0521354
-144.711,0.848231,0.88424,2,3,0,145.68,-2.78194,0.0686894
-145.391,0.784326,0.88424,2,7,0,146.553,-2.56207,0.0364696
-144.563,0.980447,0.88424,1,3,0,145.433,-2.71701,0.0506416
-145.16,0.910182,0.88424,2,3,0,145.232,-2.81301,0.0852987
-146.938,0.854176,0.88424,2,7,0,147.058,-2.62615,0.0231015
-144.762,0.894007,0.88424,2,3,0,148.618,-2.74768,0.0697349
-144.757,0.987927,0.88424,2,3,0,145.009,-2.93648,0.0597502
-145.545,0.685727,0.88424,2,7,0,147.123,-2.48577,0.0427852
-146.002,0.842353,0.88424,2,3,0,146.818,-3.11759,0.0336439
-145.424,0.945218,0.88424,2,3,0,146.931,-3.05002,0.037468
-145.03,0.956813,0.88424,2,7,0,145.967,-2.89524,0.0769905
-145.268,0.969697,0.88424,2,3,0,145.636,-2.74495,0.03232
-145.507,0.949482,0.88424,1,1,0,145.628,-2.71263,0.0304451
-146.694,0.928519,0.88424,2,3,0,147.109,-3.15969,0.0842653
-145.662,1,0.88424,2,3,0,146.752,-2.9332,0.0940389
-144.583,0.973589,0.88424,2,3,0,146.159,-2.88579,0.0493398
-144.594,0.996734,0.88424,2,3,0,144.638,-2.70452,0.048998
-145.199,0.913857,0.88424,2,3,0,145.298,-2.8069,0.0866376
-146.214,0.643295,0.88424,2,3,0,147.477,-3.19861,0.0568691
-145.552,1,0.88424,2,3,0,146.183,-3.10767,0.0577433
-146.164,0.863541,0.88424,1,1,0,146.287,-3.17834,0.0622122
-145.925,1,0.88424,2,3,0,146.305,-2.42444,0.0471099
-144.583,0.967455,0.88424,2,3,0,146.17,-2.78404,0.0441872
-144.591,0.965147,0.88424,1,3,0,144.876,-2.8489,0.060964
-144.523,0.986699,0.88424,1,3,0,144.717,-2.80891,0.0474988
-145.546,0.789569,0.88424,1,3,0,145.946,-3.09211,0.0626881
-145.191,0.912108,0.88424,2,3,0,146.826,-2.56662,0.0620736
-145.22,0.992975,0.88424,2,3,0,145.484,-3.06215,0.0524963
-145.385,1,0.88424,2,3,0,145.635,-3.06294,0.0397272
-144.983,0.99073,0.88424,2,3,0,145.648,-2.75182,0.0784543
-144.505,0.988316,0.88424,1,3,0,145.046,-2.78412,0.0554939
-144.55,0.900032,0.88424,2,3,0,145.281,-2.82761,0.0593132
-148.78,0.565131,0.88424,2,3,0,148.795,-2.72664,0.2031
-144.904,0.967296,0.88424,2,3,0,148.551,-2.99662,0.051804
-145.128,0.821165,0.88424,1,3,0,146.518,-2.55132,0.0484215
-147.656,0.636596,0.88424,2,7,0,148.071,-3.29118,0.0283434
-145.989,1,0.88424,1,1,0,147.424,-3.11557,0.0336667
-144.731,1,0.88424,2,3,0,145.903,-2.65075,0.0482253
-145.75,0.783682,0.88424,2,3,0,146.344,-2.71139,0.100793
-145.233,0.776446,0.88424,1,3,0,148.696,-2.94161,0.034499
-145.056,1,0.88424,1,1,0,145.268,-2.94779,0.037418
-144.631,0.942778,0.88424,1,3,0,145.709,-2.69684,0.0574763
-145.09,0.963405,0.88424,2,3,0,145.159,-2.84776,0.0343005
-145.559,0.904255,0.88424,2,3,0,146.339,-3.08645,0.0383657
-145.156,1,0.88424,2,3,0,145.658,-3.05133,0.0495226
-145.081,0.932685,0.88424,2,7,0,146.108,-2.56131,0.0479712
-144.555,0.977885,0.88424,2,3,0,145.241,-2.72614,0.0549006
-144.603,0.963042,0.88424,1,3,0,144.823,-2.87054,0.0456678
-145.146,0.918698,0.88424,2,3,0,145.396,-3.03802,0.0578252
-145.421,0.859059,0.88424,2,3,0,146.611,-2.71075,0.0906036
-144.745,0.894085,0.88424,2,3,0,146.879,-2.88347,0.0664912
-146.393,0.729749,0.88424,2,3,0,146.77,-3.20962,0.0607841
-145.774,1,0.88424,2,3,0,146.807,-2.52634,0.0331104
-145.504,0.945901,0.88424,2,3,0,146.832,-2.49528,0.0557878
-146.773,0.704228,0.88424,1,1,0,146.846,-2.35763,0.0607519
-145.552,1,0.88424,2,3,0,147.25,-2.70543,0.0301586
-144.782,1,0.88424,2,3,0,145.74,-2.91046,0.0415121
-144.718,1,0.88424,2,3,0,144.835,-2.83997,0.0404661
-145.367,0.892748,0.88424,2,3,0,145.616,-2.52503,0.0411363
-144.964,0.904738,0.88424,2,3,0,146.002,-2.74491,0.0774758
-145.098,0.994675,0.88424,2,3,0,145.153,-2.78076,0.0832013
-144.924,0.89548,0.88424,1,3,0,146.657,-2.76998,0.0363387
-146.869,0.750763,0.88424,2,7,0,147.111,-2.74028,0.136983
-144.738,0.895013,0.88424,1,3,0,148.13,-2.93976,0.0574638
-144.902,0.890136,0.88424,2,7,0,145.61,-2.61096,0.0573069
-146.386,0.819343,0.88424,2,3,0,146.918,-2.38067,0.0372384
-144.534,0.997094,0.88424,2,3,0,146.131,-2.82288,0.0582056
-147.509,0.538041,0.88424,1,3,0,148.426,-3.11183,0.118301
-147.3,1,0.88424,2,7,0,147.76,-2.47884,0.0235628
-150.857,0.843061,0.88424,2,3,0,151.74,-1.94666,0.0309533
-150.216,0.9739,0.88424,3,7,0,151.109,-3.52926,0.0623945
-151.026,1,0.88424,2,3,0,153.078,-2.26,0.128447
-146.439,1,0.88424,2,3,0,149.726,-2.67462,0.11832
-147.889,0.448329,0.88424,3,7,0,151.129,-3.07243,0.0208366
-146.415,1,0.88424,1,1,0,147.719,-2.99224,0.0259762
-147.191,0.881393,0.88424,2,7,0,148.115,-2.62491,0.134618
-145.751,0.938108,0.88424,2,3,0,147.82,-3.14912,0.0498483
-145.691,0.962562,0.88424,3,7,0,146.626,-2.82368,0.0286753
-145.43,1,0.88424,2,3,0,145.756,-2.81105,0.0939648
-146.295,0.879791,0.88424,2,7,0,146.812,-3.0471,0.0278585
-146.832,0.870247,0.88424,1,1,0,147.09,-3.02205,0.0243207
-145.522,0.720747,0.88424,2,3,0,149.276,-3.0397,0.0740064
-144.837,1,0.88424,2,7,0,145.434,-2.62464,0.0461636
-144.603,0.997438,0.88424,2,3,0,144.925,-2.7939,0.0433511
-145.652,0.833303,0.88424,2,3,0,146.162,-2.91445,0.0297449
-145.211,0.997677,0.88424,2,3,0,146.231,-3.06158,0.051007
-144.983,0.993349,0.88424,2,7,0,145.55,-2.7658,0.0355083
-144.493,0.988321,0.88424,1,3,0,145.078,-2.79368,0.0523067
-144.973,0.89864,0.88424,1,3,0,145.12,-2.6306,0.0657858
-145.021,0.991321,0.88424,2,3,0,145.231,-3.02364,0.0512879
-144.942,0.994864,0.88424,2,3,0,145.41,-2.83149,0.0361414
-145.279,0.923564,0.88424,1,1,0,145.344,-2.77118,0.032053
-145.286,0.962839,0.88424,2,3,0,146.034,-2.52615,0.0448639
-144.929,0.979769,0.88424,2,3,0,145.706,-2.6566,0.0393642
-144.506,1,0.88424,2,3,0,144.88,-2.82819,0.0505627
-145.603,0.766776,0.88424,1,3,0,146.182,-2.59915,0.0832555
-147.509,0.909812,0.88424,2,3,0,147.989,-2.58103,0.021362
-145.34,1,0.88424,2,3,0,147.381,-3.01039,0.0730064
-144.658,1,0.88424,2,7,0,145.234,-2.73272,0.0428131
-145.471,0.829716,0.88424,2,3,0,145.851,-2.99891,0.0336549
-145.271,0.866769,0.88424,2,7,0,147.026,-2.55124,0.0401734
-145.322,0.930174,0.88424,2,3,0,146.264,-2.51634,0.0467636
-144.727,0.990524,0.88424,2,3,0,145.532,-2.69862,0.0422502
-144.649,0.993551,0.88424,2,3,0,144.836,-2.89187,0.0601532
-145.187,0.928251,0.88424,2,7,0,145.233,-2.54729,0.0442691
-145.065,0.975767,0.88424,2,3,0,145.739,-2.84382,0.034566
-144.716,1,0.88424,2,3,0,145.176,-2.93357,0.0571258
-145.258,0.943363,0.88424,2,3,0,145.444,-2.86673,0.0326298
-146.522,0.891937,0.88424,2,7,0,146.841,-2.53117,0.0977217
-145.1,1,0.88424,2,7,0,146.299,-3.01329,0.0415713
-145.398,0.852396,0.88424,2,3,0,146.369,-3.00276,0.0763759
-146.748,0.726085,0.88424,1,1,0,146.77,-3.14657,0.0889109
-145.343,0.84931,0.88424,2,3,0,148,-2.60633,0.0759395
-145.025,1,0.88424,2,3,0,145.483,-3.02457,0.050394
-144.906,0.860407,0.88424,2,7,0,146.179,-2.64546,0.0406544
-144.756,1,0.88424,2,3,0,144.94,-2.64444,0.0476228
-145.676,0.915155,0.88424,2,7,0,145.694,-3.03312,0.0803614
-145.965,0.903701,0.88424,2,3,0,147.749,-3.13204,0.0354014
-145.803,1,0.88424,1,1,0,146.121,-3.12309,0.0374698
-144.493,0.975229,0.88424,1,3,0,146.179,-2.7981,0.0522767
-145.428,0.749393,0.88424,2,3,0,146.467,-2.82261,0.0937535
-145.084,0.959778,0.88424,2,3,0,145.926,-2.61899,0.0684941
-144.959,0.909022,0.88424,2,3,0,146.508,-2.95451,0.0673098
-144.735,0.894559,0.88424,2,3,0,146.018,-2.6656,0.044886
-144.746,0.996167,0.88424,2,7,0,144.871,-2.64427,0.0536261
-144.896,0.90456,0.88424,2,3,0,145.828,-2.9941,0.0525735
-144.93,0.817688,0.88424,2,3,0,147.377,-2.72275,0.0749331
-145.298,0.863255,0.88424,2,3,0,147.183,-2.79979,0.0318136
-145.218,0.981853,0.88424,2,7,0,145.888,-3.03373,0.0405966
-144.529,1,0.88424,2,3,0,145.124,-2.79372,0.0584125
-144.816,0.913071,0.88424,2,3,0,145.05,-2.6277,0.0470882
-144.641,0.94669,0.88424,1,3,0,145.358,-2.90804,0.0563244
-145.222,0.796806,0.88424,2,7,0,146.132,-2.5336,0.047729
-145.13,0.944255,0.88424,2,3,0,146.134,-2.68384,0.0788356
-146.498,0.923326,0.88424,2,3,0,146.701,-2.6767,0.0246134
-145.257,0.81399,0.88424,2,3,0,148.181,-2.5669,0.0651628
-145.282,0.684166,0.88424,2,7,0,147.509,-2.98627,0.0356213
-146.299,0.834329,0.88424,1,1,0,146.305,-3.09122,0.0292334
-146.071,0.833341,0.88424,2,3,0,147.905,-2.51454,0.081383
-145.539,1,0.88424,2,3,0,146.101,-2.55674,0.0735065
-144.857,0.944001,0.88424,2,7,0,146.362,-2.72447,0.0381355
-145.762,0.757424,0.88424,2,7,0,146.856,-2.53008,0.0752845
-145.297,1,0.88424,1,1,0,145.756,-2.57989,0.0695396
-145.123,0.956685,0.88424,2,3,0,146.063,-3.04305,0.0531805
-145.589,0.932148,0.88424,2,3,0,146.066,-2.68181,0.0301643
-145.439,1,0.88424,2,3,0,145.734,-2.9366,0.0867364
-145.201,0.988374,0.88424,2,7,0,145.852,-2.53775,0.0476715
-145.486,0.962936,0.88424,2,3,0,145.894,-3.0578,0.0689149
-144.951,1,0.88424,1,1,0,145.39,-2.95497,0.066902
-145.006,0.974716,0.88424,2,3,0,145.471,-3.01098,0.0452247
-145.193,0.968624,0.88424,1,1,0,145.246,-3.04288,0.0428959
-148.362,0.450591,0.88424,2,3,0,149.919,-2.17132,0.0440899
-144.935,0.803512,0.88424,2,3,0,149.987,-2.61227,0.043213
-144.851,0.991444,0.88424,2,3,0,145.183,-2.76879,0.0375356
-144.61,0.960693,0.88424,2,3,0,145.206,-2.71008,0.0580533
-145.125,0.935646,0.88424,2,3,0,145.198,-2.96988,0.0717433
-144.508,0.970278,0.88424,1,3,0,145.345,-2.75954,0.0520813
-144.592,0.972606,0.88424,1,3,0,144.688,-2.88332,0.0567073
-145.84,0.806155,0.88424,2,3,0,146.04,-3.15661,0.0540526
-144.954,1,0.88424,2,3,0,146.016,-2.81531,0.0358451
