# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-07-21 18:04:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpC0iZKs/standata-7bbc74217686.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.772356
# Diagonal elements of inverse mass matrix:
# 0.0537038, 0.229209
-139.407,0.998648,0.772356,3,7,0,139.437,-3.09049,0.0516434
-139.205,0.961903,0.772356,1,3,0,139.85,-2.90776,0.0677659
-139.815,0.91096,0.772356,2,3,0,139.98,-2.67498,0.0588296
-140.143,0.977737,0.772356,2,3,0,140.201,-2.6279,0.0621385
-140.762,0.879612,0.772356,3,7,0,141.959,-2.94402,0.0265071
-139.494,1,0.772356,2,3,0,140.689,-3.03715,0.0412821
-140,0.926928,0.772356,2,3,0,140.315,-3.04289,0.0992441
-139.431,0.850822,0.772356,2,3,0,141.961,-2.75661,0.0574224
-139.294,1,0.772356,3,7,0,139.572,-2.94934,0.0735877
-139.436,0.913252,0.772356,2,3,0,140.226,-2.90171,0.0810786
-140.025,0.822745,0.772356,1,3,0,141.89,-2.98514,0.0322254
-141.379,0.933993,0.772356,2,3,0,141.757,-2.50757,0.0723128
-140.581,0.850683,0.772356,2,3,0,143.333,-2.56958,0.0404518
-139.464,0.985053,0.772356,2,3,0,140.717,-3.09282,0.0475289
-139.195,0.993619,0.772356,2,3,0,139.555,-2.84444,0.0581666
-139.572,0.891963,0.772356,3,7,0,140.329,-2.78021,0.0414564
-140.187,0.891093,0.772356,3,7,0,140.755,-3.23618,0.0436179
-140.348,0.98596,0.772356,3,7,0,140.396,-2.62558,0.0722907
-139.783,1,0.772356,2,3,0,140.379,-3.13219,0.0408971
-140.457,0.954659,0.772356,2,3,0,140.578,-3.09072,0.0300373
-139.906,0.938372,0.772356,3,7,0,141.453,-2.69403,0.0405713
-139.588,0.966639,0.772356,3,7,0,140.413,-3.05704,0.0401071
-139.466,0.995335,0.772356,3,7,0,139.774,-2.91224,0.0394823
-139.366,1,0.772356,3,7,0,139.602,-3.06287,0.0648032
-140.919,0.719793,0.772356,3,7,0,142.509,-2.98999,0.141506
-140.358,0.959146,0.772356,2,3,0,141.755,-2.74085,0.0313732
-140.796,0.970523,0.772356,2,3,0,141.564,-2.54138,0.061184
-139.704,1,0.772356,3,7,0,141.137,-2.954,0.0932813
-139.196,0.916282,0.772356,2,3,0,140.628,-2.8419,0.0551329
-139.246,0.939309,0.772356,3,7,0,139.812,-3.01022,0.0652602
-140.215,0.839107,0.772356,1,3,0,140.938,-2.7851,0.103849
-139.774,0.90399,0.772356,3,7,0,141.198,-2.69391,0.064254
-140.609,0.921622,0.772356,2,3,0,140.982,-3.28697,0.068632
-139.993,0.99554,0.772356,3,7,0,141.207,-2.83635,0.101234
-139.602,0.9922,0.772356,2,7,0,140.312,-3.13398,0.0625371
-139.851,0.985333,0.772356,3,7,0,140.086,-2.66975,0.0594881
-139.971,0.849346,0.772356,3,7,0,141.905,-2.80271,0.0338352
-139.226,0.916054,0.772356,1,3,0,140.775,-2.87079,0.0669067
-139.226,0.859113,0.772356,1,3,0,140.528,-2.87079,0.0669067
-139.95,0.921191,0.772356,2,3,0,140.064,-2.87085,0.10218
-139.759,1,0.772356,1,1,0,139.981,-2.92558,0.0959888
-140.968,0.910714,0.772356,3,7,0,141.114,-2.67615,0.0280921
-141.772,0.8438,0.772356,1,1,0,141.912,-2.66535,0.0236572
-141.466,1,0.772356,1,1,0,142.034,-2.65404,0.02544
-140.622,1,0.772356,2,7,0,141.343,-3.07701,0.119714
-142.053,0.925959,0.772356,2,3,0,142.094,-3.23305,0.141274
-139.719,0.958673,0.772356,2,3,0,142.588,-3.16468,0.0597661
-140.162,0.960309,0.772356,2,3,0,140.543,-2.76229,0.098017
-139.245,1,0.772356,2,3,0,140.082,-2.9227,0.0453747
-139.35,0.979463,0.772356,1,1,0,139.355,-2.93116,0.0420711
-139.172,0.977923,0.772356,2,3,0,139.606,-2.89152,0.0639413
-139.17,0.998236,0.772356,2,3,0,139.222,-2.85967,0.0541607
-139.129,1,0.772356,3,7,0,139.168,-2.94657,0.0592042
-139.119,0.999372,0.772356,1,3,0,139.135,-2.92929,0.0558832
-139.589,0.948757,0.772356,2,3,0,139.591,-3.12962,0.0479073
-139.337,0.915549,0.772356,2,3,0,140.468,-2.89929,0.0758257
-140.568,0.732454,0.772356,2,3,0,142.639,-3.06796,0.0287501
-139.323,1,0.772356,3,7,0,140.449,-2.92122,0.0428125
-139.453,0.956892,0.772356,2,3,0,139.783,-2.94337,0.0397524
-140.303,0.89811,0.772356,2,3,0,140.742,-3.21398,0.0374218
-139.886,1,0.772356,2,3,0,140.401,-3.19919,0.0498648
-140.193,0.936083,0.772356,3,7,0,140.907,-2.90105,0.113453
-139.741,0.968868,0.772356,2,7,0,140.71,-3.16247,0.0631191
-141.773,0.84046,0.772356,2,3,0,142.172,-3.4461,0.0531965
-142.113,0.970206,0.772356,3,7,0,142.502,-2.43994,0.0717846
-140.8,0.988045,0.772356,3,7,0,143.265,-2.62343,0.0314917
-140.074,0.938582,0.772356,3,7,0,142.222,-3.13821,0.0869866
-139.898,0.999967,0.772356,3,7,0,140.555,-2.68449,0.0688188
-139.296,0.869589,0.772356,1,3,0,141.125,-3.0572,0.0573326
-139.495,0.983752,0.772356,3,7,0,139.589,-3.06537,0.0430175
-139.354,0.840353,0.772356,3,7,0,141.346,-2.79877,0.0650501
-139.647,0.943725,0.772356,1,1,0,139.649,-2.74058,0.0706051
-139.293,0.982475,0.772356,2,3,0,139.863,-2.79928,0.0545922
-139.341,0.875697,0.772356,2,3,0,140.659,-2.85907,0.0435414
-139.239,0.982083,0.772356,2,3,0,139.599,-3.02199,0.0622312
-139.226,0.99897,0.772356,3,7,0,139.335,-2.83009,0.0589814
-139.961,0.923224,0.772356,2,3,0,140.027,-3.00655,0.10121
-140.05,0.992828,0.772356,3,7,0,140.083,-2.85048,0.0321444
-140.838,0.840496,0.772356,1,1,0,140.886,-2.83494,0.0263898
-140.624,1,0.772356,3,7,0,141.282,-3.14432,0.10783
-139.821,1,0.772356,2,3,0,140.922,-2.96631,0.0342658
-140.819,0.897286,0.772356,2,3,0,142.036,-3.32725,0.0418894
-140.404,1,0.772356,1,1,0,140.85,-3.2802,0.0465547
-139.818,0.987125,0.772356,2,3,0,140.744,-2.72109,0.0749016
-139.502,0.637575,0.772356,2,3,0,144.012,-2.97127,0.0391018
-139.596,0.973197,0.772356,3,7,0,140.06,-2.74201,0.0678339
-139.555,0.999283,0.772356,3,7,0,139.912,-3.12309,0.0625667
