"Parameter","Mean","Median","StDev","q5","q95","rhat","ess_bulk","ess_tail"
"Intercept",0.5695436687825,0.572057,0.230337718122103,0.20071125,0.94941305,1.00833185747499,847.58208027844,1153.69260198241
"DBH (m)",2.2565399385,2.257475,0.51464832422692,1.409772,3.1191555,1.00063126832542,2932.37694581268,2588.26311691663
"DBH^2 (m^2)",-0.95130152212925,-0.9535675,0.394000634169213,-1.600347,-0.30592905,1.00084051403599,3009.83485026355,2575.30632734501
"SD Plots",0.7420797605,0.7086835,0.202655685255143,0.47337235,1.1222215,1.00250758717227,1144.28186696636,1572.29229431236
