"Parameter","Mean","Median","StDev","q5","q95","rhat","ess_bulk","ess_tail"
"Mean Recr Size (cm)",-0.392075562,-0.392227,0.0323464607328629,-0.44463775,-0.3383382,1.00111145751536,4963.56882385078,2789.95582856803
"SD Recr Size (cm)",0.65082640175,0.6499355,0.0223402018307648,0.61548735,0.6887937,1.00113532209659,4331.36434483436,2901.71105688035
