"Parameter","Mean","Median","StDev","q5","q95","rhat","ess_bulk","ess_tail"
"Intercept",0.00961513320075,0.009512395,0.00296257545816962,0.0048420325,0.01460897,1.00380862604705,651.231584754098,1099.50339509407
"DBH (m)",1.107178625,1.10716,0.00443508560294515,1.0999595,1.1144315,0.999883710622988,2804.6776331361,2545.21431020293
"DBH^2 (m^2)",-0.0615406635,-0.0615147,0.00322547928706349,-0.06696502,-0.056283725,0.999991952625086,2992.60142158755,2758.88608464347
"SD Plots",0.01132373957,0.0109813,0.00270232842326122,0.007586647,0.01612191,1.00778061617925,811.083188069653,1359.1175952738
"SD Residual",0.01786862345,0.0178599,0.00031280243436686,0.017353895,0.01839029,0.999577166627131,3532.29185919224,2693.31991873409
