"Parameter","Mean","Median","StDev","q5","q95","rhat","ess_bulk","ess_tail"
"Intercept",-3.214359455,-3.195495,0.412831326536814,-3.912312,-2.558492,1.00287001623102,1439.87640315897,1868.92279805891
"DBH (m)",0.90977949989875,1.02183,1.51955603015264,-1.733245,3.2187055,1.00207540903754,1735.64036171849,2387.66554972856
"SD Plots",0.901566566,0.88309,0.253393233123553,0.52780095,1.349177,1.00170728618532,1567.6231184693,2143.79989922856
"NB Dispersion",0.82090812725,0.7859435,0.241342994124375,0.49241105,1.2660705,1.00101800677699,2297.18313700319,2731.2027604311
